Journal,Management,First Section,Second Section,Third Section,Fourth Section,Fifth Section
"100 YEARS ISPRS ADVANCING REMOTE SENSING SCIENCE, PT 2",1,X,,X,1,X
"10TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI2017)",1,X,1,X,X,X
"11TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE (SGEM 2011), VOL II",1,X,X,X,1,X
"11TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE (SGEM 2011), VOL III",0,X,X,X,0,X
11TH INTERNATIONAL SYMPOSIUM ON ECOHYDRAULICS,1,X,1,X,X,X
12TH INTERNATIONAL CONFERENCE ON HYDROINFORMATICS (HIC 2016) - SMART WATER FOR THE FUTURE,1,X,1,X,X,X
12TH INTERNATIONAL INTERDISCIPLINARY STUDIES SEMINAR: ENVIRONMENTAL CONSERVATION AND EDUCATION FOR SUSTAINABLE DEVELOPMENT,1,1,X,X,X,X
"12th International Multidisciplinary Scientific Geoconference, SGEM 2012, Vol. I",1,X,,X,1,X
"12TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE, SGEM 2012, VOL. III",1,X,,X,1,X
"12th International Multidisciplinary Scientific Geoconference, SGEM 2012, Vol. IV",1,X,,X,1,X
"12TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE, SGEM 2012, VOL. V",1,X,,X,1,X
"12TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED)",1,1,X,X,X,X
"15TH INTERNATIONAL CONFERENCE THE KNOWLEDGE-BASED ORGANIZATION: MILITARY SCIENCES. SECURITY AND DEFENSE, CONFERENCE PROCEEDINGS 1",0,X,X,X,0,X
18TH BIENNIAL ISEM CONFERENCE ON ECOLOGICAL MODELLING FOR GLOBAL CHANGE AND COUPLED HUMAN AND NATURAL SYSTEM,1,X,,X,1,X
18TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING,1,X,,X,X,1
18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION: INTERFACING MODELLING AND SIMULATION WITH MATHEMATICAL AND COMPUTATIONAL SCIENCES,1,X,,X,1,X
"19TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2018), VOLS 1-6: SPEECH RESEARCH FOR EMERGING MARKETS IN MULTILINGUAL SOCIETIES",1,1,X,X,,X
19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),1,X,,X,1,X
"1ST INTERNATIONAL CONFERENCE ON GLOBAL ISSUE FOR INFRASTRUCTURE, ENVIRONMENT & SOCIO-ECONOMIC DEVELOPMENT",1,1,X,X,X,X
1ST INTERNATIONAL GLOBAL ON RENEWABLE ENERGY AND DEVELOPMENT (IGRED 2017),1,X,1,X,X,X
"2003 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS, VOLS 1-5, CONFERENCE PROCEEDINGS",1,X,,X,X,1
"2006 IEEE EIC Climate Change Conference, Vols 1 and 2",1,X,,X,X,1
"2006 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM, VOLS 1-8",0,X,X,X,X,0
"2006 SICE-ICASE International Joint Conference, Vols 1-13",1,X,,X,X,1
"2007 IEEE INTERNATIONAL SYMPOSIUM ON CIRCUITS AND SYSTEMS, VOLS 1-11",1,X,,X,X,1
2007 WIRELESS TELECOMMUNICATIONS SYMPOSIUM,1,X,,X,X,1
"2008 IEEE MEDITERRANEAN ELECTROTECHNICAL CONFERENCE, VOLS 1 AND 2",1,X,,X,X,1
2008 IFIP INTERNATIONAL CONFERENCE ON WIRELESS AND OPTICAL COMMUNICATIONS NETWORKS,0,X,X,X,X,0
"2009 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY, VOLS 1-20",0,X,X,X,0,X
"2009 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM, VOLS 1-5",1,X,,X,1,X
"2009 IEEE POWER & ENERGY SOCIETY GENERAL MEETING, VOLS 1-8",0,X,X,X,0,X
